id,country_id,name_en,name_ro,name_ru,is_capital,population,timezone
86,8,Andulo,Andulo,Андулу,false,50000,Africa/Luanda
87,8,Cafunfo,Cafunfo,КАФУНФО,false,90000,Africa/Luanda
88,8,Santa Clara,Santa Clara,Санта Клара,false,29000,Africa/Luanda
89,10,Villa Gesell,Villa Gesell,Вилья-Хесель,false,23257,America/Argentina/Buenos_Aires
90,10,Tandil,Tandil,Тандиль,false,115877,America/Argentina/Buenos_Aires
91,10,San Clemente del Tuyu,San Clemente del Tuyu,Сан-Клементе-дель-Тую,false,11174,America/Argentina/Buenos_Aires
92,10,Resistencia,Resistencia,Ресистенсия,false,290793,America/Argentina/Cordoba
93,10,Reconquista,Reconquista,Реконкиста,false,90184,America/Argentina/Cordoba
94,10,Puerto Iguazu,Puerto Iguazu,Пуэрто-Игуасу,false,32038,America/Argentina/Cordoba
95,10,Puerto Eldorado,Puerto Eldorado,Пуэрто Эльдорадо,false,54189,America/Argentina/Cordoba
96,10,Posadas,Posadas,Посадас,false,305874,America/Argentina/Cordoba
97,10,Paso de los Libres,Paso de los Libres,Пасо-де-лос-Либрес,false,43805,America/Argentina/Cordoba
98,10,Necochea,Necochea,Некочеа,false,73557,America/Argentina/Buenos_Aires
99,10,Monte Caseros,Monte Caseros,Монте Касерос,false,24671,America/Argentina/Cordoba
100,10,Merlo,Merlo,Мерло,false,268961,America/Argentina/Buenos_Aires
101,10,Mercedes,Mercedes,Мерседес,false,63284,America/Argentina/Buenos_Aires
102,10,Mar del Plata,Mar del Plata,Мар-дель-Плата,false,593337,America/Argentina/Buenos_Aires
103,10,La Plata,La Plata,Ла-Плата,false,195443,America/Argentina/Buenos_Aires
104,10,Gualeguaychu,Gualeguaychu,Гуалегуайчу,false,78676,America/Argentina/Cordoba
105,10,Goya,Goya,Гойя,false,70245,America/Argentina/Cordoba
106,10,Formosa,Formosa,Формоза,false,222226,America/Argentina/Cordoba
107,10,Ezeiza,Ezeiza,Езэиза,false,115021,America/Argentina/Buenos_Aires
108,10,El Palomar,El Palomar,Эль Паломар,false,59031,America/Argentina/Buenos_Aires
109,10,Curuzu Cuatia,Curuzu Cuatia,Курусу-Куатия,false,36390,America/Argentina/Cordoba
110,10,Corrientes,Corrientes,Корриентес,false,346334,America/Argentina/Cordoba
111,10,Concordia,Concordia,Конкордия,false,145210,America/Argentina/Cordoba
112,10,Clorinda,Clorinda,Клоринда,false,15000,America/Argentina/Cordoba
113,10,Buenos Aires,Buenos Aires,Буэнос-Айрес,true,2891082,America/Argentina/Buenos_Aires
114,10,Zapala,Zapala,Сапала,false,31534,America/Argentina/Salta
115,10,Villa Dolores,Villa Dolores,Вилла Долорес,false,28009,America/Argentina/Cordoba
116,10,Viedma,Viedma,Вьедма,false,48940,America/Argentina/Salta
117,10,Veinticinco de Mayo,Veinticinco de Mayo,Вентицино де Маю,false,24668,America/Argentina/Buenos_Aires
118,10,Valcheta,Valcheta,Вальчэта,false,3596,America/Argentina/Salta
119,10,Ushuaia,Ushuaia,Ушуая,false,56825,America/Argentina/Ushuaia
120,10,Tres Arroyos,Tres Arroyos,Трес Арройос,false,47136,America/Argentina/Buenos_Aires
121,10,Termas de Rio Hondo,Termas de Rio Hondo,Термас де Рио Хондо,false,27838,America/Argentina/Cordoba
122,10,Tartagal,Tartagal,Тартагал,false,60819,America/Argentina/Salta
123,10,Sunchales,Sunchales,Сунчалес,false,18757,America/Argentina/Cordoba
124,10,Sierra Grande,Sierra Grande,Сьерра Гранде,false,6978,America/Argentina/Salta
125,10,Sarmiento,Sarmiento,Сарминьо,false,8292,America/Argentina/Catamarca
126,10,Santiago del Estero,Santiago del Estero,Сантьяго-дель-Эстеро,false,252192,America/Argentina/Cordoba
127,10,Santa Rosa,Santa Rosa,Санта-Роса,false,102860,America/Argentina/Salta
128,10,Santa Fe,Santa Fe,Санта-Фе,false,391164,America/Argentina/Cordoba
129,10,San Salvador de Jujuy,San Salvador de Jujuy,Сан Сальвадор де Жужуй,false,257970,America/Argentina/Jujuy
130,10,San Ramon de la Nueva Oran,San Ramon de la Nueva Oran,Сан-Рамон-де-ла-Нуэва-Оран,false,74059,America/Argentina/Salta
131,10,San Rafael,San Rafael,Сан-Рафаэль,false,118009,America/Argentina/Mendoza
132,10,San Miguel de Tucuman,Tucumán,Сан-Мигель-де-Тукуман,false,548866,America/Argentina/Tucuman
133,10,San Luis,San Luis,Сан-Луис,false,169947,America/Argentina/San_Luis
134,10,San Juan,San Juan,Сан-Хуан,false,109123,America/Argentina/San_Juan
135,10,Catamarca,Catamarca,Сан-Фернандо-дель-Валье-де-Катамарка,false,159139,America/Argentina/Catamarca
136,10,San Antonio Oeste,San Antonio Oeste,Сан-Антонио-Оэсте,false,16966,America/Argentina/Salta
137,10,Salta,Salta,Сальта,false,520683,America/Argentina/Salta
138,10,Rosario,Rosario,Росарио,false,948312,America/Argentina/Cordoba
139,10,Rio Mayo,Rio Mayo,Рио Майо,false,2939,America/Argentina/Catamarca
140,10,Rio Grande,Rio Grande,Рио-Гранде,false,52681,America/Argentina/Ushuaia
141,10,Rio Gallegos,Rio Gallegos,Рио-Гальегос,false,95796,America/Argentina/Rio_Gallegos
142,10,Rio Cuarto,Rio Cuarto,Рио-Куарто,false,157010,America/Argentina/Cordoba
143,10,Rawson,Rawson,Роусон,false,26335,America/Argentina/Catamarca
144,10,Rafaela,Rafaela,Рафаэла,false,88713,America/Argentina/Cordoba
145,10,Puerto Santa Cruz,Puerto Santa Cruz,Пуэрто Санта Крус,false,3397,America/Argentina/Rio_Gallegos
146,10,Puerto San Julian,Puerto San Julian,Пуэрто Сан Хуан Литтл,false,6143,America/Argentina/Rio_Gallegos
147,10,Puerto Madryn,Puerto Madryn,Пуэрто-Мадрин,false,64555,America/Argentina/Catamarca
148,10,Puerto Deseado,Puerto Deseado,Пуэрто Десадо,false,10237,America/Argentina/Rio_Gallegos
149,10,Presidencia Roque Saenz Pena,Presidencia Roque Saenz Pena,Президенция Роке Саэнс Пэнья,false,81879,America/Argentina/Cordoba
150,10,Perito Moreno,Perito Moreno,Перито Морено,false,3588,America/Argentina/Rio_Gallegos
151,10,Pehuajo,Pehuajo,Пехуахо,false,44783,America/Argentina/Buenos_Aires
152,10,Parana,Parana,Парана,false,247139,America/Argentina/Cordoba
153,10,Olavarria,Olavarria,Олаваррия,false,89721,America/Argentina/Buenos_Aires
154,10,Neuquen,Neuquen,Неукен,false,231198,America/Argentina/Salta
155,10,Miramar,Miramar,Мирамар,false,1979,America/Argentina/Cordoba
156,10,Mendoza,Mendoza,Мендоса,false,114893,America/Argentina/Mendoza
157,10,Maquinchao,Maquinchao,Макинчао,false,2195,America/Argentina/Salta
158,10,Los Menucos,Los Menucos,Лос Менучос,false,2689,America/Argentina/Salta
159,10,Loncopue,Loncopue,Лонкопуэ,false,4323,America/Argentina/Salta
160,10,Libertador General San Martin,Libertador General San Martin,Либерадор Генерал Сан Мартин,false,49267,America/Argentina/Jujuy
161,10,Las Lomitas,Las Lomitas,Лас Ломитас,false,10354,America/Argentina/Cordoba
162,10,Las Heras,Las Heras,Лас-Эрас,false,9303,America/Argentina/Rio_Gallegos
163,10,La Rioja,La Rioja,Ла-Риоха,false,178872,America/Argentina/La_Rioja
164,10,La Cumbre,La Cumbre,Ла Кумбре,false,7235,America/Argentina/Cordoba
165,10,Junin de los Andes,Junin de los Andes,Хунин-де-лос-Андес,false,10592,America/Argentina/Salta
166,10,Junin,Junin,Джунин,false,87509,America/Argentina/Buenos_Aires
167,10,Jose de San Martin,Jose de San Martin,Хосе де Сан Мартин,false,1453,America/Argentina/Catamarca
168,10,La Esperanza,La Esperanza,Ла Эсперанца,false,5002,America/Argentina/Jujuy
169,10,Ingeniero Jacobacci,Ingeniero Jacobacci,Инженеро Якобаччи,false,5785,America/Argentina/Salta
170,10,General Villegas,General Villegas,Генерал Вильяс,false,16270,America/Argentina/Buenos_Aires
171,10,General Roca,General Roca,Хенераль,false,73212,America/Argentina/Salta
172,10,General Pico,General Pico,Генерал Пико,false,57029,America/Argentina/Salta
173,10,Esquel,Esquel,Эскель,false,28486,America/Argentina/Catamarca
174,10,Embarcacion,Embarcacion,Эмбаркацион,false,23961,America/Argentina/Salta
175,10,El Maiten,El Maiten,Эль Маитен,false,3782,America/Argentina/Catamarca
176,10,El Calafate,El Calafate,Эль Калафате,false,8000,America/Argentina/Rio_Gallegos
177,10,El Bolson,El Bolson,Эль Болсон,false,15537,America/Argentina/Salta
178,10,Cutral-Co,Cutral-Co,Ктуаль-ко,false,47380,America/Argentina/Salta
179,10,Coronel Suarez,Coronel Suarez,Коронель-Суарез,false,27000,America/Argentina/Buenos_Aires
180,10,Cordoba,Córdoba,Кордова,false,2106734,America/Argentina/Cordoba
181,10,Comodoro Rivadavia,Comodoro Rivadavia,Комодоро-Ривадавия,false,140850,America/Argentina/Catamarca
182,10,Comandante Luis Piedrabuena,Comandante Luis Piedrabuena,Команданте Луис Пидрабуэна,false,4176,America/Argentina/Rio_Gallegos
183,10,Chos Malal,Chos Malal,Чос-Малаль,false,11721,America/Argentina/Salta
184,10,Charata,Charata,Чарата,false,27813,America/Argentina/Cordoba
185,10,Ceres,Ceres,Серес,false,13063,America/Argentina/Cordoba
186,10,Catriel,Catriel,Катриель,false,15169,America/Argentina/Salta
187,10,Carmen de Patagones,Carmen de Patagones,Кармен-де-Патагонес,false,20533,America/Argentina/Buenos_Aires
188,10,Caleta Olivia,Caleta Olivia,Калета-Оливия,false,36077,America/Argentina/Rio_Gallegos
